centroides_x,centroides_y,id
168.43478260869566,136.7246376811594,B
180.53521126760563,137.28169014084506,B
179.32394366197184,123.64788732394366,A
80.17910447761194,140.88059701492537,B
90.3529411764706,140.41176470588235,B
102.08823529411765,130.9558823529412,B
101.98666666666666,139.56,A
114.5945945945946,138.7972972972973,A
123.41538461538461,135.92307692307693,B
124.31506849315069,137.986301369863,A
135.35714285714286,138.37142857142857,A
144.07246376811594,133.56521739130434,A
154.89705882352942,138.98529411764707,B
161.72972972972974,138.02702702702703,A
169.93055555555554,130.48611111111111,A
185.12857142857143,146.07142857142858,B
180.86301369863014,132.32876712328766,A
82.35526315789474,142.07894736842104,A
82.81538461538462,152.7076923076923,B
97.61194029850746,140.11940298507463,B
100.3896103896104,144.35064935064935,A
114.39393939393939,145.28787878787878,B
121.89393939393939,143.0151515151515,B
133.64285714285714,144.75714285714287,B
142.34848484848484,147.57575757575756,B
142.68571428571428,146.55714285714285,A
149.86301369863014,144.41095890410958,A
159.49295774647888,145.80281690140845,A
177.02857142857144,152.44285714285715,B
177.56756756756758,142.0810810810811,A
180.86111111111111,140.09722222222223,A
84.3623188405797,160.85507246376812,B
92.95522388059702,162.52238805970148,B
87.28378378378379,148.7972972972973,A
105.0909090909091,150.6060606060606,B
109.0,155.5,A
117.81944444444444,155.04166666666666,A
125.73611111111111,157.73611111111111,A
132.45205479452054,155.84931506849315,A
145.42028985507247,158.1304347826087,A
155.8923076923077,149.04615384615386,B
157.1891891891892,154.75675675675674,A
168.63888888888889,159.61111111111111,A
176.2027027027027,156.4189189189189,A
180.06666666666666,151.86666666666667,A
88.76923076923077,161.96153846153845,A
97.72727272727273,166.96103896103895,A
98.46969696969697,156.8939393939394,B
116.73134328358209,159.82089552238807,B
116.4931506849315,162.75342465753425,A
133.2463768115942,156.07246376811594,B
131.91780821917808,176.41095890410958,A
141.57746478873239,167.91549295774647,A
156.12820512820514,169.55128205128204,A
168.72058823529412,155.52941176470588,B
167.23376623376623,170.24675324675326,A
171.22222222222223,166.0,A
90.55263157894737,165.27631578947367,A
96.23376623376623,171.88311688311688,A
107.21333333333334,174.56,A
112.72727272727273,168.07575757575756,B
116.03947368421052,176.80263157894737,A
126.63636363636364,167.66666666666666,B
140.52941176470588,160.89705882352942,B
147.05479452054794,175.87671232876713,A
152.21212121212122,162.4848484848485,B
165.7391304347826,166.91304347826087,B
176.86111111111111,164.18055555555554,B
94.73913043478261,174.1014492753623,B
100.53623188405797,175.31884057971016,B
115.6875,177.453125,B
122.1044776119403,177.3582089552239,B
130.23684210526315,182.81578947368422,A
138.9848484848485,179.6060606060606,B
150.63076923076923,175.84615384615384,B
153.98648648648648,179.2972972972973,A
165.2,173.67142857142858,B
110.43478260869566,182.0,B
117.52631578947368,182.17105263157896,A
130.49253731343285,183.49253731343285,B
141.6764705882353,181.33823529411765,B
147.44,183.42666666666668,A
159.07246376811594,182.2173913043478,B
