CellID,X_centroid,Y_centroid,phenotype,Cluster
383286,31145.26424870466,24060.272020725388,Ki67+ tumor cells ,1
11896,31483.3722334004,23398.513078470824,Ki67+ tumor cells ,2
2892,30858.14308943089,23356.053658536584,Ki67+ tumor cells ,3
75314,30674.192477876102,23906.181415929204,Ki67+ tumor cells ,4
825227,31244.49042145594,24061.166666666668,Ki67+ tumor cells ,5
195035,31068.448559670785,24039.1975308642,Ki67+ tumor cells ,6
608583,31078.64779874214,23740.24025157233,Ki67+ tumor cells ,7
189981,31465.13385826772,23363.09711286089,Ki67+ tumor cells ,8
169248,31195.835945663533,23684.57680250784,Ki67+ tumor cells ,9
436677,31109.060070671378,23701.471731448764,Ki67+ tumor cells ,10
717356,30890.86758241758,23333.87252747253,Ki67+ tumor cells ,11
743723,31209.465489566614,24057.79614767255,Ki67+ tumor cells ,12
783141,31117.5,23681.013793103448,Ki67+ tumor cells ,13
1000891,31236.650429799425,24079.699140401142,Ki67+ tumor cells ,14
747261,27751.81343283582,23598.417910447763,M1/M0 macrophages,0
917121,30570.528735632182,23549.758620689656,M1/M0 macrophages,1
116803,29187.855072463768,23530.4384057971,M1/M0 macrophages,2
1028163,31131.454545454544,23571.636363636364,M1/M0 macrophages,3
1024961,29852.33576642336,23617.38686131387,M1/M0 macrophages,4
757947,26774.19318181818,23226.105113636364,M1/M0 macrophages,5
160734,28146.20879120879,23636.78021978022,M1/M0 macrophages,6
384254,30004.25581395349,23241.147286821702,M1/M0 macrophages,7
551536,31168.146341463416,23877.658536585364,M1/M0 macrophages,8
910435,28672.657894736843,23477.605263157893,M1/M0 macrophages,9
774149,30780.62730627306,23411.19926199262,M1/M0 macrophages,10
649845,27465.454545454544,23261.758620689656,M1/M0 macrophages,11
504448,31544.156976744187,23456.674418604653,M1/M0 macrophages,12
742175,28988.58571428572,23820.32857142857,M1/M0 macrophages,13
258108,30181.11695906433,23766.754385964912,M1/M0 macrophages,14
712279,30689.67567567568,23735.72972972973,M1/M0 macrophages,15
274004,30447.71105527638,23338.32412060301,M1/M0 macrophages,16
931655,31224.376146789,24031.02752293578,M1/M0 macrophages,17
545438,30860.51101321586,23870.55506607929,M1/M0 macrophages,18
931617,31376.74111675127,23314.319796954314,M1/M0 macrophages,19
439476,29282.24175824176,23931.95879120879,M1/M0 macrophages,20
289344,28341.62595419848,23793.7786259542,M1/M0 macrophages,21
541686,31368.833948339485,23622.59778597786,M1/M0 macrophages,22
379333,30120.465346534653,23637.158415841583,M1/M0 macrophages,23
342280,28977.127659574468,23505.7304964539,M1/M0 macrophages,24
691398,29401.557620817843,23490.226765799256,M1/M0 macrophages,25
732843,30310.423005565863,23183.426716141003,M1/M0 macrophages,26
323306,29732.09178743961,23446.497584541063,M1/M0 macrophages,27
1024567,29669.2,23707.375,M1/M0 macrophages,28
869366,31070.048387096773,23412.9435483871,M1/M0 macrophages,29
719548,27931.721153846152,23612.45192307692,M1/M0 macrophages,30
643867,27633.856382978724,23656.55319148936,M1/M0 macrophages,31
1036943,30484.1,23675.566666666666,M1/M0 macrophages,32
939107,30805.189655172413,23551.775862068964,M1/M0 macrophages,33
420385,29053.54891304348,23682.75,M1/M0 macrophages,34
